text,label
"Usai kalah dari Prancis, Pelatih Timnas Maroko, Walid Regragui, secara mengejutkan membuat pernyataan ia dukung Prancis untuk menjuarai Piala Dunia edisi kali ini. 
",agree
"FT : ğŸ‡¨ğŸ‡µ Prancis  2 - 0  Maroko ğŸ‡²ğŸ‡¦

Theo Hernandez 5'
Kolo Muani 79'

PRANCIS LOLOS KE FINAL DAN AKAN BERTEMU ARGENTINA",agree
"Dari Maroko kita belajar, dibebani harapan tinggi oleh banyak orang dan tak kesampaian itu pedih.",agree
"Prancis jadi tim pertama yang mampu jebol gawang Maroko di Piala Dunia 2022!
",agree
"Halo Sob! GiveawayTelkomJabar kali ini ada pertanyaan seputar PialaDunia2022 nih Sob, gaskeun yuk! Buat kamu yang beruntung akan mendapatkan saldo LinkAja total 150k untuk 3 orang pemenang!
",disagree
"Final Piala Dunia 2022!
Antara Argentina atau Perancis, team mana yang anda rasa akan jadi juara?",agree
Prancis jadi tim pertama yang mampu jebol gawang Maroko di Piala Dunia 2022!,agree
"Congratulation team
",agree
"Nantikan pertandingan LIGA INDONESIA PREMIER LEAGUE yang akan berlangsung hari Kamis, 15 Desember 2022",agree
"Nantikan pertandingan INDIAN SUPER LEAGUE &amp; SCOTLAND PREMIER LEAGUE yang akan berlangsung hari Kamis, 15 Desember 2022",agree
"Bali United 2-2 Borneo FC / Privat B
",disagree
"Legenda Brasil, Rivaldo, secara terang-terangan memberikan dukungannya pada Lionel Messi dan Argentina di Piala Dunia 2022 ini. Bahkan, dia berani menyebut bahwa tuhan sudah menakdirkan Messi jadi juara dunia tahun ini. https://t.co/9M41DW1jQo",agree
"Messi cs berhasil melaju ke final setelah mengalahkan Kroasia kalau ada yang bilang Messi cuma bisa p, mungkin dia gak nonton assist ke Alvarez...

",agree
"PSM  Makassar 2-1 Madura United / K.Nambu
",disagree
"FINAL PIALA DUNIA SUDAH DEKAT GUYS
Yuk siapkan cemilan favoritmu untuk nobar!
Cuss lagi banyak promo cemilan untuk paket nonton piala dunia nih!",agree
"Prancis vs Maroko

Prancis back to back final piala Dunia, Argentina sudah menunggu.

Maroko akhirnya tumbang.",agree
"Berkat gol dari Cody Gakpo dan Frenkie De Jong, Timnas Belanda sukses memastikan diri lolos ke 16 besar Piala Dunia 2022. Jagoan kamu lolos juga gak Sob? Tulis di kolom komentar ya! 
",agree
Kejutan yang bener-bener gak Kakmin duga di bulan ini adalah Maroko bisa naklukin Spanyol lewat drama adu penalty! Coba vote deh siapa ya yang kira-kira bakal masuk ke final?,agree
Apakah final FIFA World Cup nanti menjadi ajang bergengsi untuk francis back to back champios ? ataukah argentina meraih juara untuk di persembahkan ke LM10 ?,agree
"TEBAK SKOR WORLD CUP
 
@equipedefrance  vs @EnMaroc 
 
Syarat:

- Tebak Skor dengan hastag( PRANCIS 2-1 MAROKO #WORLDCUPxWINLIVE4D )
- Wajib Follow @txtslots ,Retwets &amp; Like post ini
- WAKTU MAEN SAMPAI SELESAI
",agree
Prediksi Parlay Hari ini 15 - 16 Des 2022,disagree
"Julian Alvarez: Dulu minta foto bareng Messi, sekarang diberi Assist dan rayakan gol bareng!
",agree
"Catat! Final Piala Dunia 2022 mempertemukan Argentina vs Prancis.

Perebutan tempat ketiga juga tidak kalah menarik lho, Kroasia akan bertemu Kuda Hitam Maroko.
",agree
"Bola Canggih di Laga Semifinal dan Final Piala Dunia 2022. 
",agree
"Babak Semi Final Piala Dunia 2022, Perancis Hentikan Maroko Berpeluang Pertahankan Gelar Juara",agree
"Hasil FIFA World Cup 2022
Babak Semifinal:

FT: Prancis ğŸ‡«ğŸ‡· vs Maroko ğŸ‡²ğŸ‡¦ 2-0

Theo Hernandez '5
Randal Kolo Muani '79

Prancis berhasil lolos ke babak final",agree
"Bendera Palestina Berkibar di Piala Dunia 2022, Apa Maksudnya. ",agree
"Apakah sudah waktunya bagi Lionel Messi mengangkat trofi Piala Dunia?
",agree
"Partai Final Piala Dunia 2022:

Argentina vs Prancis 
dan perebutan tempat ke 3 Kroasia vs Maroko

Komentar Kamu?
",agree
Akhirnya Perancis menggagalkan impian maroko untuk melaju ke final piala dunia 2022,agree
Piala Dunia 2022 â€“ Prancis 2-0 Maroko,agree
"Yuk, aktifkan add-on World Cup 2022 hanya Rp89.000 untuk menyaksikan pertandingan langsung, siaran ulang (catch-up) dan highlight FIFA World Cup 2022â„¢",agree
"CROATIA 2 - 0 MAROCCO
PGT :luka modric (croatia) ",agree
"Update Bagan Fase Gugur Piala Dunia 2022, 15 Desember 2022.

Final ideal Argentina vs Prancis menurut mimin, Kalau menurut hemat Bolaneters?
",agree
"Bali United 2 - 1 Borneo FC
PGT : Matheus Pato (Borneo)",disagree
"Legenda Brasil, Rivaldo, secara terang-terangan memberikan dukungannya pada Lionel Messi dan Argentina di #PialaDunia2022 ini. Bahkan, dia berani menyebut bahwa tuhan sudah menakdirkan Messi jadi juara dunia tahun ini.",agree
"Partai Final Piala Dunia 2022:

Argentina vs Prancis 
dan perebutan tempat ke 3 Kroasia vs Maroko

Komentar Kamu?",agree
"Semi final sudah selesai dini hari tadi. Sudah ada Prancis yang akan menjemput Argentina dan bertanding di partai final Piala Dunia 2022. 

Siapa yang akan jadi juara?",agree
Perancis 2 - 2 Argentina,disagree
" #BHsukan Penyokong Maghribi tetap menjulang perjalanan bersejarah pasukan itu meskipun laluan mereka tersekat menerusi kekalahan 2-0 di tangan juara bertahan, Perancis
",agree
"Pertandingan dimenangkan oleh Prancis berkat gol dari Theo Hernandez dan Randal Kolo Muani.
",agree
"""Donâ€™t be sad bro (Achraf Hakimi), everybody is proud of what you did, you made history"" - Kylian Mbappe",agree
"Argentina / Prancis?

Ayo segera bergabung di MACAUDEWA dan dapatkan promo menarik lainnya.",agree
"Walaupun langkah Maroko terhenti di babak semifinal Piala Dunia 2022, Maroko sudah menampilkan yang terbaik",agree
Warga Maroko sambut pahlawan mereka meski final Piala Dunia tinggal mimpi.,agree
"Ternyata Giroud pernah satu tim dengan pelatih Maroko, Walid Regragui lho!",agree
KROASIA PULANG SEBAGAI PAHLAWAN,agree
MESSI BAWA ARGENTINA KE FINAL PIALA DUNIA 2022,agree
"Wahh ternyata Kakmin dikejutkan lagi sama pertandingan Maroko VS Prancis dengan skor 2-0 untuk kemenangan Prancis. Ngomong-ngomong kejutan, apa sih kejutan terbesar yang kalian dapat di akhir tahun 2022 ini? ",agree
THE GOAT ! MESSI MEMANG BERKELAS ! MESSI MEMANG PEMBEDA ! ,agree
Piala Dunia 2022 FINAL,agree
"Kylian Mbappe memperagakan semangat kesukanan kepada Achraf Hakimi selepas Perancis menundukkan Maghribi pada aksi separuh akhir Piala Dunia
",agree
"PIALA DUNIA 2022 QATAR
PENENTUAN TEMPAT 3/4

CROATIA lwn MAGHRIBI
SABTU, 17 DISEMBER 2022
STADIUM KHALIFA INTERNATIONAL
",agree
"Kuis Pulsa Tebak Skor!
CROATIA VS MAROCCO
Hadiah 250rb  Total 10 pemenang!

Contoh:
CROATIA 2 - 0 MAROCCO
PGT :luka modric (croatia)
",agree
"Griezmannkante: Griezmann di Mana-mana, Bantu Pertahanan hingga Rancang Peluang",agree
"Dietmar Hamann menyelar tindakan bintang Portugal, Cristiano Ronaldo yang bersikap tidak profesional berbanding pemain-pemain Maghribi
",agree
Legenda Brasil yang satu ini malah dukung Argentina dan Messi Juara Piala Dunia 2022!,agree
"Akhir-akhir ini sering begadang karena nonton Pildun? Nah, agar kamu tetap bisa fit beraktivitas setelah begadang, coba simak tips mengatasi ngantuk setelah begadang di bawah ini!
",disagree
KALAH DARI ARGENTINA TIM KROASIA PULANG SEBAGAI PAHLAWAN,agree
ArgentinaÂ â€“ Prancis 1-2,disagree
" Dietmar Hamann menyelar tindakan bintang Portugal, Cristiano Ronaldo yang bersikap tidak profesional berbanding pemain-pemain Maghribi
",agree
"Standing Ovation dan Full Respek buat Maestro, Luka Modric!
",agree
"Lisandro Martinez, Si Tukang Jagal di Timnas Argentina",agree
Selamat untuk tim Pernacis selaku juara bertahan melaju ke Final World Cup 2022 Qatar. ,agree
Terbaik pasukan Maghribi walaupun kalah tetap bersujud merendah jiwa kepada Yang Maha Esa. ,agree
"Permainan yang bagus dari Argentina Kemarin 
",agree
"Jadwal pertandingan dini hari, Prancis VS Maroko.

Tim mana yang akan masuk ke final?
",agree
Kovacic nilai Argentina dapat bantuan dari wasit!,agree
"Kylian Mbappe memperagakan semangat kesukanan kepada Achraf Hakimi selepas Perancis menundukkan Maghribi pada aksi separuh akhir Piala Dunia
",agree
"Hasil Skor Piala Dunia 2022
15 Desember 2022
",agree
Argentina - Prancis 2 - 1,agree
"Hasil Skor Piala Dunia 2022
15 Desember 2022",agree
"Hati ini sebenarnya sangat mengagumi kiprah dan perjalanan Maroko di #worldcup2022 ini. Tapi secara rasional rasa-rasanya Prancis tetap yang akan unggul di laga menarik semifinal ini.

Ini bukan ramalan ya, hanya prediksi dari penonton",agree
"Tidak hanya untuk tim juara, FIFA juga menyiapkan hadiah bagi peringkat 3 hingga 32. YNR ",agree
"Langkah Maroko terhenti di babak semifinal Piala Dunia 2022, dan membuat Prancis melaju ke babak final. Jangan sombong dulu Maroko.",agree
Melaju ke Final! Ini 5 Fakta Unik Kemenangan Prancis Atas Maroko,agree
ARGENTINA â€“ PRANCIS 1-0,disagree
"Perancis â€“ Argentina 1-1
",disagree
"Ternyata Ini dia sosok legenda yang menginspirasi Lisandro Martinez di piala dunia, baca selengkapnya
",agree
Melaju ke Final! Ini 5 Fakta Unik Kemenangan Prancis Atas Maroko,agree
"KEPUTUSAN PERLAWANAN MASA PENUH

SEPARUH AKHIR 

PERANCIS 2 - 0 MAGHRIBI ",agree
"Sederet Rekor yang bakal ditorehkan Messi jika Argentina raih Juara Piala Dunia 2022!
",agree
"Messi pastikan Piala Dunia 2022 akan jadi panggung terakhirnya bersama Argentina!
",agree
"Potret Kylian Mbappe Pakai Jersey Achraf Hakimi saat Merayakan Kemenangan Prancis atas Maroko
",agree
"Messi pastikan Piala Dunia 2022 akan jadi panggung terakhirnya bersama Argentina!
",agree
"Inggris dan Prancis akan bertarung memperebutkan satu tiket terakhir ke semi-final #PialaDunia2022. Siapa lawan paling pantas untuk kuda hitam, Maroko? ",agree
"Singa Atlas akhirnya kebobolan dan gagal melaju ke final. Duh!

Partner Resmi 
Seputaran Piala Dunia ",disagree
Sebagai kekasih dari pesepak bola Georgina Rodriguez turut hadir dalam ajang Piala Dunia2022 di Qatar untuk mendukung CR7.,agree
"Profil dan Biodata Sofyan Amrabat, Pemain Andalan Timnas Maroko di Piala Dunia 2022 Qatar

Prancis Final Ideal Juara 3 Theo Hernandez",agree
Dengarkan episod edisi khas Ultras Kuaci Edisi Piala Dunia Qatar 2022!,disagree
"Francis ğŸ‡«ğŸ‡· 2 - 0 Maroko ğŸ‡²ğŸ‡¦
",agree
"Argentina melawan dunia, banyak orang ingin Messi tersingkir!",disagree
Dua legendaris sepak bola dunia Pele dan mendiang Diego Armando Maradona ikut memeriahkan Piala Dunia 2022 di Qatar. Keduanya bersanding pada Pameran CONMEBOL di Msheireb Downtown Doha. YNR ,agree
"Tampil Mengejutkan Selama Piala Dunia 2022, Menang atau Kalah Timnas Maroko Tetap Sujud Syukur",agree
Nasib baik dia tak tanya kenapa Malaysia tak main. HAHAHAHAHAH ??,agree
"Tiba2 kebangun, Dalam mimpi lihat messi sama istrinya pengang piala dunia",agree
Thank you Maroko!,agree
"Hanya tim dengan begitu banyak pemain Afrika yang bisa mengalahkan Morocco.

Congratz French, thanks Morocco for your great performance.
",neutral
"Hasil FIFA World Cup 2022
Babak Semifinal:

FT: Prancis ğŸ‡«ğŸ‡· vs Maroko ğŸ‡²ğŸ‡¦ 2-0

Gol by:
ğŸ‡«ğŸ‡·:
Theo Hernandez '5
Randal Kolo Muani '79

Prancis berhasil lolos ke babak final
",agree
Sederet Rekor yang bakal ditorehkan Messi jika Argentina raih Juara Piala Dunia 2022!,agree
"PIALA DUNIA 2022 QATAR
FINAL

ARGENTINA lwn PERANCIS
AHAD, 18 DISEMBER 2022
STADIUM LUSAIL",agree
"Final Piala Dunia 2022 antara Argentina dan Perancis bakal menyaksikan pertembungan rakan sepasukan Paris Saint-Germain, Lionel Messi dan Kylian Mbappe",agree
Maghribi tetap juara di hati peminat. Tahniah Singa Atlas.,agree
"Sikap kesatria ditunjukkan Timnas Maroko, Walalupun Kalah di semifinal melawan Perancis, mereka tetap melakukan sujud syukur dilapangan bola. Selanjutnya mereka akan melawan Kroasia untuk perebutan Juara 3 ",neutral
"Alang-alang sebulan kat Qatar, bawa pulang sekali trofi",agree
"Hakim Ziyech Disebut Tak Pernah Terima Gajinya, Beri Penghasilannya untuk Warga Tak Mampu di Maroko",agree
"Rivaldo telah mendukung Messi untuk memenangkan Piala Dunia 2022 dan percaya bahwa Tuhan akan memahkotai bintang Argentina pada hari Minggu.
",agree
Perancis â€“ Argentina 2-0,agree
Piala Dunia Qatar 2022 | FINALS ,agree
"â€œEveryone can rise above their circumstances and achieve success if they are dedicated to and passionate about what they do.â€
",agree
"Antoine Griezmann Pemain Spesial, Kombinasi Zidane &amp; Platini! ",agree
"Prancis menang lawan Marocco : 2 - 0, gw dapet  kiriman parcel... ",agree
Sederet pemain Argentina yang bisa bantu Messi raih gelar Juara Piala Dunia 2022!,agree
"Final ideal 
Eropa vs Amerika latin",neutral
"Mungkin cuma Samuel Eto'o yang benar memprediksi perjalanan Timnas Maroko sebelum dimulainya Piala Dunia 2022!
.
Akankah Maroko menembus babak Final?
",disagree
"Mbappe Hakimi, bromance sejati!",agree
"SEPARUH AKHIR PIALA DUNIA 2022, QATAR
KEPUTUSAN PENUH

PERANCIS 2-0 MAGHRIBI (FT)
Theo HERNANDEZ, 5'
Randal KOLO MUANI, 79'",agree
"Peminat membantah layangan kad kuning ke atas pemain Maghribi, Sofiane Boufal, sebaliknya percaya penalti sepatutnya diberikan kepada pasukan Afrika itu",agree
Randal Kolo Muani Baru Masuk 44 Detik Langsung Pupus Harapan Maroko Cicipi Partai Final Piala Duniai,agree
Tercipta Final Ideal antara Argentina vs Perancis. Perancis berhasil  mengalahkan Maroko dengan skor 2-0. Waalaupun terhenti di semi final namun Maroko mengukir sejarah wakil benua Afrika bisa tembus semifinal,agree
"Fakta Menarik Usai Prancis Sukses Kunci Tiket Final Piala Dunia 2022!: Timnas Prancis sukses mengunci tiket final Piala Dunia 2022, skuad Les Blues berhasil menyingkirkan Maroko dengan skor 2-0",agree
Man of the Match Piala Dunia 2022 Prancis vs Maroko: Antoine Griezmann ,agree
Pencetak gol terbanyak Argentina di Piala Dunia: Messi gak ada obat nih!,agree
"WOW WOW FINAL PIALA DUNIA 2022, ARGENTINA VS PRANCIS!!",agree
Piala Dunia 2022 Qatar Prancis Jadi Penantang Argentina di Final,agree
2 Gol Prancis Membuat Maroko Terhenti di Semifinal Piala Dunia 2022,agree
"Ternyata ada peran Arteta dibalik kesuksesan Regragui bawa Maroko ke Semifinal Piala Dunia 2022!
",agree
"Sengit! Hasil Pertandingan Prancis vs Maroko, Hugo Lloris Dkk Melaju ke Final Lawan Argentina
",agree
"Persiapan buat nonton piala dunia udah ada..
Saatnya persiapan untuk malam ini ya.. ",disagree
"Rangkuman Hasil Piala Dunia 2022 semalam: Prancis tekuk Maroko dan melaju ke partai Final!
",agree
"Ternyata Ini dia sosok legenda yang menginspirasi Lisandro Martinez di piala dunia, baca selengkapnya ",agree
Prancis berhasil lolos ke final Piala Dunia 2022.,neutral
Ternyata ada peran Arteta dibalik kesuksesan Regragui bawa Maroko ke Semifinal Piala Dunia 2022!.,agree
"Ada banyak pelajaran yang bisa kita petik dari keberhasilan wakil Asia di Piala Dunia 2022. Tak bisa dipungkiri kalau Piala Dunia 2022 jadi penampilan terbaik wakil Asia di Piala Dunia.
",agree
Katae paranormal Prancis menang piala dunia,disagree
Prancis berhasil mengakhiri kutukan tersebut dan kini hanya berjarak 2 pertandingan untuk menjadi juara back-to-back Piala Dunia.,agree
" WAGs Yassine Bounou, kiper fantastis asal Maroko!",agree
"Ada hal yang berbeda dalam ajang piala dunia tahun ini, yakni keterlibatan dan adopsi aset #kripto yang masal. Apa aja sih aset kripto terbaik di FIFA World Cup 2022?
",agree
"Maroko, juara di hati fans sepak bola dunia.",agree
Karim Benzema akan Main di Final Piala Dunia? Ini Jawaban Didier Deschamps,disagree
"Termasuk Luka Modric, Ini 5 Pemain Terbaik Kroasia di Piala Dunia 2022 Sejauh Ini ",agree
pola andalan dari penonton enak banget buat dapat profit,disagree
Sangat menarik narasi lawas Yai Cholil ini ttg kedekatan tradisi keagamaan Indonesia-Maroko; manuskrip Dala'il  jg populer n bnyk dijumpai salinannya di Nusantara...,agree
"Suarez melontarkan pujian untuk penampilan Messi yang menggendong Argentina mengalahkan Kroasia pada semi-final Piala Dunia 2022.
",agree
"Antoine Griezmann Pemain Spesial, Kombinasi Zidane &amp; Platini! ",agree
"Dua pemain Prancis, Raphael Varane dan Jules Kounde mewaspadai kekompakan dan solidnya para pemain Maroko jelang laga semi-final",agree
"BACK TO BACK WORLD CUP FINALS FOR FRANCE! ğŸ‡«ğŸ‡·

Satu tantangan di puncak, Argentina!
",agree
"FINAL WORLD CUP. 
ARGENTINA VS FRANCE

""MESSI NGEGOLIN DAN ARGENTINA JUARA""

akankan menjadi 
PART 2 VERSI
""Ahn Jung-Hwan""
",agree
Warganet memberikan beragam reaksi terhadap hasil laga Prancis vs Maroko ini.,agree
"Gagal Lolos Final, Pelatih Walid Reragui: Semoga Orang Maroko Memaafkan Kami, Insya Allah Lain Kali Lolos Final ",agree
"KEPUTUSAN PERLAWANAN MASA PENUH

SEPARUH AKHIR 

PERANCIS ğŸ‡«ğŸ‡· 2 - 0 MAGHRIBI ğŸ‡²ğŸ‡¦",agree
"Kejutan yang bener-bener gak Kakmin duga di bulan ini adalah Maroko bisa naklukin Spanyol lewat drama adu penalty! Coba vote deh siapa ya yang kira-kira bakal masuk ke final?

",agree
"Penyokong Perancis mengibarkan bendera dan menyalakan suar bagi meraikan kejayaan Les Bleus mara ke final Piala Dunia selepas menundukkan Maghribi 2-0
",agree
"Penyokong Maghribi tetap menjulang perjalanan bersejarah pasukan itu meskipun laluan mereka tersekat menerusi kekalahan 2-0 di tangan juara bertahan, Perancis
",agree
"Babak Pertama Prancis Vs Maroko 1-0, Theo Hernandez Cetak Gol Tercepat dan Sukses Jebol Gawang Bono
",agree
Man of the Match Piala Dunia 2022 Prancis vs Maroko: Antoine Griezmann,agree
Zlatko Dalic Harap Luka Modric Tidak Terburu-buru Pensiun dari Timnas Kroasia,agree
Babak semi final Piala Dunia 2022 sudah selesai. Prancis menang atas Maroko 2-0 dan akan menghadapi Argentina di babak final nanti.Â ,agree
"Full-time
France 2 : 0 Morocco
Congratulations to France
 Argentina vs France, world Cup Final
On Sunday.
",agree
"Pengendali Perancis, Didier Deschamps mengharapkan Adrien Rabiot kembali cergas bagi aksi final Piala Dunia",agree
"Update! Jadwal Perebutan Tempat Ketiga dan Final Piala Dunia 2022: Laga semifinal Piala Dunia 2022 telah berakhir dan kini telah memasuki partai puncak final Piala Dunia 2022, yang artinya sebentarâ€¦",agree
"Duel di Final Piala Dunia 2022, Argentina 7-3 Prancis",disagree
